"Title:","Cognitive Decline from the Alzheimer's Disease and Healthy Aging Data Database"
"SubTitle:","Topic: Subjective cognitive decline or memory loss among older adults - Question: Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months - Stratification 1: 50-64 years - Stratification 2: Asian/Pacific Islander"
"Time:","2015 - 2020"
"Unit of Measure:","%","%","%","%","%","%"
"Citation:","Centers for Disease Control and Prevention  (2022-11-07). Alzheimer's Disease and Healthy Aging Data: Cognitive Decline | Subjective cognitive decline or memory loss among older adults | Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months | 50-64 years | Asian/Pacific Islander, 2015 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  005-063-002 doi:https://doi.org/10.6068/DP18466F7FC9091"
"ColumnCount:",8
"RowCount:",1

"USA (Code)","Subjective cognitive decline or memory loss among older adults, Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months, 50-64 years, Asian/Pacific Islander, 2020 (%)","Subjective cognitive decline or memory loss among older adults, Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months, 50-64 years, Asian/Pacific Islander, 2019 (%)","Subjective cognitive decline or memory loss among older adults, Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months, 50-64 years, Asian/Pacific Islander, 2018 (%)","Subjective cognitive decline or memory loss among older adults, Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months, 50-64 years, Asian/Pacific Islander, 2017 (%)","Subjective cognitive decline or memory loss among older adults, Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months, 50-64 years, Asian/Pacific Islander, 2016 (%)","Subjective cognitive decline or memory loss among older adults, Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months, 50-64 years, Asian/Pacific Islander, 2015 (%)"
"USA",2.2,9,8.7,7.2,6.5,5



"Publisher:", "Centers for Disease Control and Prevention "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."